source_file,page,source_table_id,row_in_table,state,row_type,energy_source,primary_motor_type,primary_motor_number,primary_motor_hp,transmission_line_km,distribution_line_km,transmission_voltage,distribution_voltage,current_type,phases,cycles,transformer_stations,personnel
all_tables.pdf,16,tbl-53.md,8,Pernambuco,data,Thermica...,M. V.,1,80,—,6,—,—,—,—,—,—,4
all_tables.pdf,16,tbl-53.md,9,Pernambuco,data,Thermica...,M. V.,1,70,—,6,—,220,Continua...,—,—,—,3
all_tables.pdf,16,tbl-53.md,10,Pernambuco,continuation,,C. I.,1,100,—,—,—,220,Alternativa...,3,—,—,4
all_tables.pdf,16,tbl-53.md,11,Pernambuco,data,Thermica...,C. I.,1,68,—,3,—,220,Continua...,—,—,—,*
all_tables.pdf,16,tbl-53.md,12,Pernambuco,data,Thermica...,M. V.,1,95,—,13,—,220,—,—,—,—,—
all_tables.pdf,18,tbl-55.md,2,Pernambuco,continuation,,MOTEURS PRIMAIRES,,,KilometrosEXTENSIONDESLINHES,,,,,,,,
all_tables.pdf,18,tbl-56.md,1,Pernambuco,data,Thermica...,C. I.,3,300,6,20,2200,220127,Alternativa...,3,50,-,14
all_tables.pdf,18,tbl-56.md,2,Pernambuco,data,Thermica...,M. V.,1,50,-,-,-,220,Continua...,-,-,-,5
all_tables.pdf,18,tbl-56.md,3,Pernambuco,data,Thermica...,C. I.,1,6,-,1,-,220,Continua...,-,-,-,4
all_tables.pdf,18,tbl-56.md,4,Pernambuco,data,Thermica...,M. V.,6,14000,125,140,66002200,550440,Continua...,-,-,3,-
all_tables.pdf,18,tbl-56.md,5,Pernambuco,data,Thermica...,C. I.,1,65,-,25,-,220,Alternativa...,3,50,-,-
all_tables.pdf,18,tbl-56.md,6,Pernambuco,data,Thermica...,C. I.,1,65,-,25,-,220,Continua...,-,-,-,8
all_tables.pdf,18,tbl-57.md,1,Piauhy,data,Thermica...,M. V.,1,60,2,5,220,110,Alternativa...,3,50,-,5
all_tables.pdf,18,tbl-58.md,1,Rio de Janeiro,data,Hydraulica...,T. H.,1,200,31,6,13200,2300220110,Alternativa...,3,60,1,14
all_tables.pdf,18,tbl-58.md,2,Rio de Janeiro,data,Hydraulica...,T. H.,1,120,6,4,3300,3000220,Alternativa...,3,50,1,5
all_tables.pdf,18,tbl-58.md,3,Rio de Janeiro,data,Hydraulica...,T. H.,2,60,19,-,2200,125,Alternativa...,3,50,1,4
all_tables.pdf,18,tbl-58.md,4,Rio de Janeiro,data,Thermica...,C. I.,1,45,-,8,-,110,Continua...,-,-,-,4
all_tables.pdf,18,tbl-58.md,5,Rio de Janeiro,data,Hydraulica...,T. H.,1,200,18,12,6600,220127,Alternativa...,3,50,3,2
