source_file,page,source_table_id,row_in_table,state_context,adduction_material,pipe_diameter_mm,pipe_thickness_mm,transmission_line_km,distribution_line_km,transmission_voltage,distribution_voltage,transformer_stations,watercourse_used,reservoir_capacity_m3
all_tables.pdf,52,tbl-137.md,8,Rio de Janeiro,Aço.,-,-,48,53,15000,220,2,Rio Jacaré-pepira.,-
all_tables.pdf,52,tbl-137.md,9,Rio de Janeiro,-,-,-,2,3,220,220,-,Rio Ferrão.,-
all_tables.pdf,52,tbl-137.md,10,Rio de Janeiro,Ferro.,600,20,30,20,6000,110,-,Ribeirão Guaxinduha.,12000
all_tables.pdf,52,tbl-137.md,11,Rio de Janeiro,Aço.,1000,5,24,250,6000,220,2,Arroio do Bravo.,-
all_tables.pdf,52,tbl-137.md,12,Rio de Janeiro,Aço.,1600,7,5,9,6600,110,1,Rio Pardo.,-
all_tables.pdf,52,tbl-137.md,13,Rio de Janeiro,Aço.,2004,12,18,-,11000,2080,4,Rio Atibaia.,1600
all_tables.pdf,52,tbl-137.md,14,Rio de Janeiro,Aço.,2010,14,20,-,,230,,Rio Jaguary.,-
all_tables.pdf,52,tbl-137.md,15,Rio de Janeiro,,,,,,115,,,,
all_tables.pdf,52,tbl-137.md,16,Rio de Janeiro,Aço.,2200,7,40,30,20000,220,6,Rio Atibaia.,-
all_tables.pdf,52,tbl-137.md,17,Rio de Janeiro,,,,,,8000,,,,
all_tables.pdf,52,tbl-137.md,18,Rio de Janeiro,Aço.,750,6,26,11,6500,220,2,Rio Congonhas.,200
all_tables.pdf,52,tbl-137.md,19,Rio de Janeiro,,,,,,,110,,,
all_tables.pdf,52,tbl-137.md,20,Rio de Janeiro,Aço.,2300,15,85,37,6000,2000,2,Rio Mogy-Guassú.,-
all_tables.pdf,52,tbl-137.md,21,Rio de Janeiro,,,,,,,220,,,
all_tables.pdf,52,tbl-137.md,22,Rio de Janeiro,,,,,,,110,,,
all_tables.pdf,54,tbl-141.md,1,Rio de Janeiro,Ferro,390,5,95,50,33000,220,5,Rio Apiahy,-
all_tables.pdf,54,tbl-141.md,2,Rio de Janeiro,Ferro,900,20,6,8,6600,110,,,
all_tables.pdf,54,tbl-141.md,3,Rio de Janeiro,Aço,914,10,22,24,5250,220,-,Rio Putim,-
all_tables.pdf,54,tbl-141.md,4,Rio de Janeiro,,,6,,,,220,1,Rio Piaguy,4000
all_tables.pdf,54,tbl-141.md,5,Rio de Janeiro,,,3,,,,220,,,
all_tables.pdf,54,tbl-141.md,6,Rio de Janeiro,Aço,650,10,75,350,30000,6000,14,Ribeirão Bandeira,-
all_tables.pdf,54,tbl-141.md,7,Rio de Janeiro,,,5,55,,,2200,,Rio Sapucahy,-
all_tables.pdf,54,tbl-141.md,8,Rio de Janeiro,Aço,2730,5,55,350,220,220,,,
all_tables.pdf,54,tbl-141.md,9,Rio de Janeiro,,2070,6,,,,220,,,
all_tables.pdf,54,tbl-141.md,10,Rio de Janeiro,Ferro,1000,12,54,15,22000,2000,1,Rio Turvinho,-
