source_file,page,source_table_id,row_in_table,state,company,municipality,plant,installation_year
all_tables.pdf,13,tbl-39.md,1,Parahyba,St John dei Rey Mining Company Limited,Villa Nova de Lima,A,1915
all_tables.pdf,13,tbl-39.md,2,Parahyba,,,B,1915
all_tables.pdf,13,tbl-39.md,3,Parahyba,,,C,1915
all_tables.pdf,13,tbl-39.md,4,Parahyba,,,D,1915
all_tables.pdf,13,tbl-39.md,5,Parahyba,,,E,1915
all_tables.pdf,13,tbl-39.md,6,Parahyba,,,Gaia,1915
all_tables.pdf,13,tbl-39.md,7,Parahyba,,,Crystaes,1915
all_tables.pdf,13,tbl-39.md,8,Parahyba,,,Retiro,1915
all_tables.pdf,13,tbl-39.md,9,Parahyba,Resende,1915,,
all_tables.pdf,13,tbl-39.md,10,Parahyba,Municipalidade de Villa Nova de Resende,Villa Nova de Resende,Ossos,1915
all_tables.pdf,13,tbl-39.md,11,Parahyba,,,Conquista,1916
all_tables.pdf,13,tbl-40.md,1,Paraná,"The Pará Electric Railway and Lighting Company, Limited",Belém,—,1905
all_tables.pdf,13,tbl-40.md,2,Paraná,Municipalidade de Belém,—,Mosqueiro,1920
all_tables.pdf,13,tbl-40.md,3,Paraná,Empresa de Melhoramentos Publicos,Bragança,—,1911
all_tables.pdf,13,tbl-40.md,4,Paraná,Municipalidade de Chaves,Chaves,—,1914
all_tables.pdf,13,tbl-41.md,1,Paraná,Municipalidade de Alagôa Nova,Alagôa Nova,—,1919
all_tables.pdf,13,tbl-41.md,2,Paraná,Antonio Maia & Companhia,Areia,—,1919
all_tables.pdf,13,tbl-41.md,3,Paraná,Empresa Hydro-Electrica Borborema,Bananeiras,—,1919
all_tables.pdf,13,tbl-41.md,4,Paraná,Empresa Luz e Força de Campina Grande,Campina Grande,—,1920
all_tables.pdf,13,tbl-41.md,5,Paraná,Empresa Luz e Força de Guarabira,Guarabira,—,1919
all_tables.pdf,13,tbl-41.md,6,Paraná,J Alves da Silva,Itabayanna,—,1919
all_tables.pdf,13,tbl-41.md,7,Paraná,Empresa Força e Luz da Parahyba do Norte,Parahyba,També,1920
all_tables.pdf,13,tbl-42.md,1,Paraná,Empresa Luz e Força de Antonina,Antonina,—,1905
all_tables.pdf,13,tbl-42.md,2,Paraná,Rodolpho Voss,Arancaria,—,1907
all_tables.pdf,13,tbl-42.md,3,Paraná,Telles Pusch Limitada,Castro,—,1911
all_tables.pdf,13,tbl-42.md,4,Paraná,"The South Brazilian Railway, Company, Limited",Curityba,Central,1889
all_tables.pdf,15,tbl-49.md,1,Paraná,Antonio Meirelles Solinho,Deodoro,Itahysinho,1913
all_tables.pdf,15,tbl-49.md,2,Paraná,Municipalidade de Foz do Iguassú,Foz do Iguassú,—,1908
