source_file,page,source_table_id,row_in_table,state,company,municipality_plant_location,plant,electrical_installation_capacity_hp,total_waterfall_capacity_hp,waterfall_height_m,extension_m
all_tables.pdf,51,tbl-135.md,6,Rio de Janeiro,,»,Flôtes,1500,2500,23,82
all_tables.pdf,51,tbl-135.md,7,Rio de Janeiro,Companhia Força e Luz de Brotas,Brotas,—,1500,1500,18,20
all_tables.pdf,51,tbl-135.md,8,Rio de Janeiro,Empresa Força e Luz de Buquira,Buquira,Odette,20,1000,20,—
all_tables.pdf,51,tbl-135.md,9,Rio de Janeiro,Emilio Kunch & Companhia,Cabreúva,Guazinduba,125,1000,80,800
all_tables.pdf,51,tbl-135.md,10,Rio de Janeiro,E Hydro-Electrica da Serra da Bocaina,Cachoeira,Patmos,400,3000,250,460
all_tables.pdf,51,tbl-135.md,11,Rio de Janeiro,Empresa Nacional de Electricidade,Caconde,Santa Celida,600,15000,15,25
all_tables.pdf,51,tbl-135.md,12,Rio de Janeiro,"Companhia Campineira de Tracção, Luz e Força",Campinas,Salto Grande,5000,6000,24,100
all_tables.pdf,51,tbl-135.md,13,Rio de Janeiro,,»,Jaguary,7000,21000,50,120
all_tables.pdf,51,tbl-135.md,14,Rio de Janeiro,"Rawlinson, Muller & Companhia",Campinas,Salto Grande,4000,5000,15,23
all_tables.pdf,51,tbl-135.md,15,Rio de Janeiro,Companhia Força e Luz de Casa Branca,Casa Branca,Santa Rita,250,300,30,75
all_tables.pdf,51,tbl-135.md,16,Rio de Janeiro,Companhia Mogyana de Luz e Força,Espírito Santo do Pinhal,Salto Grande,1250,2500,13,14
all_tables.pdf,53,tbl-139.md,1,Rio de Janeiro,Empresa Luz e Força Meridional Paulista,Faxina,—,205,—,22,43
all_tables.pdf,53,tbl-139.md,2,Rio de Janeiro,Companhia Força e Luz Jacarêhy-Guararema,Guararema,Putim,800,900,19,70
all_tables.pdf,53,tbl-139.md,3,Rio de Janeiro,Companhia Luz e Força de Guaratinguetá,Guaratinguetá,Sodré,1110,1200,127,1500
all_tables.pdf,53,tbl-139.md,4,Rio de Janeiro,Emp Força e Luz de Ribeirão Preto,Igarapava,Buritys,1360,2660,150,250
all_tables.pdf,53,tbl-139.md,5,Rio de Janeiro,,Ituverava,Evangelina,5000,10000,18,55
all_tables.pdf,53,tbl-139.md,6,Rio de Janeiro,Empresa de Electricidade Sul Paulista,Itapetininga,Turvinho,500,1000,38,23
all_tables.pdf,53,tbl-139.md,7,Rio de Janeiro,Companhia Paulista de Energia Eléctrica,Itapolia,São Lourenço,300,500,7,—
all_tables.pdf,53,tbl-139.md,8,Rio de Janeiro,,São José do Rio Pardo,Santa Alice,1000,—,—,—
all_tables.pdf,53,tbl-139.md,9,Rio de Janeiro,,Soccorro,Soccorro,150,1000,11,25
all_tables.pdf,53,tbl-139.md,10,Rio de Janeiro,"Novaes, Ribas & Companhia",Itaraté,Symphoroso Queiroz,90,220,32,29
all_tables.pdf,53,tbl-139.md,11,Rio de Janeiro,Companhia Força e Luz de Jaboticabal,Jaboticabal,Corrego Rico,475,—,7,—
all_tables.pdf,53,tbl-139.md,12,Rio de Janeiro,Empresa Electrica Curcalinhense,Joanopolis,—,100,—,14,114
all_tables.pdf,53,tbl-139.md,13,Rio de Janeiro,Governo do Estado de São Paulo,Juquery,Hospício,300,300,25,55
all_tables.pdf,53,tbl-139.md,14,Rio de Janeiro,Municipalidade de Mogy-Mirim,Mogy-Mirim,—,540,1200,3,—
all_tables.pdf,53,tbl-139.md,15,Rio de Janeiro,Empresa Força e Luz Parahybanense,Parahybanu,—,100,200,40,60
all_tables.pdf,55,tbl-143.md,1,Rio de Janeiro,"The São Paulo Tramway, Light and Power Company, Limited",Parnahyba,Parnahyba,21500,32000,21,2740
all_tables.pdf,55,tbl-143.md,2,Rio de Janeiro,São Paulo Electric Company Limited,Sorocaba,Sorocaba,71400,71400,202,2760
all_tables.pdf,55,tbl-143.md,3,Rio de Janeiro,Companhia Francana de Electricidade,Patrocinio do Sapucahy,Esmeril,2500,2500,62,120
all_tables.pdf,55,tbl-143.md,4,Rio de Janeiro,Rosa & Companhia,Piedade,—,105,150,27,35
all_tables.pdf,55,tbl-143.md,5,Rio de Janeiro,Companhia Nacional de Estamparia,Pilar,Baptista,1770,1770,32,90
all_tables.pdf,55,tbl-143.md,6,Rio de Janeiro,Empresa de Electricidade São Paulo e Rio,Pindamonhangaba,Izabel,4075,4075,9,2500
all_tables.pdf,55,tbl-143.md,7,Rio de Janeiro,Matheus & Companhia,Pitacais,Lagrado,110,200,5,70
all_tables.pdf,55,tbl-143.md,8,Rio de Janeiro,Empresa Electrica de Piracicaba,Piracicaba,—,1150,6000,12,110
all_tables.pdf,55,tbl-143.md,9,Rio de Janeiro,Municipalidade de Pirassununga,Pirassununga,Central Electrica,90,90,29,80
all_tables.pdf,55,tbl-143.md,10,Rio de Janeiro,S A Central Electrica de Rio Claro,Rio Claro,Corumbatahy,450,—,25,—
all_tables.pdf,55,tbl-143.md,11,Rio de Janeiro,S A Central Electrica de Rio Claro,Rio Claro,Nova Mogy-Guassó,2870,—,8,—
all_tables.pdf,55,tbl-143.md,12,Rio de Janeiro,Companhia Fosca e Luz Norte de São Paulo,Sallesopolis,—,3000,3000,75,85
all_tables.pdf,57,tbl-147.md,1,Rio de Janeiro,Companhia Ituana Força e Luz,Salto,Lavras,2200,2200,8,—
all_tables.pdf,57,tbl-147.md,2,Rio de Janeiro,Companhia Força e Luz Santa Cruz,Santa Cruz do Rio Pardo,Santa Cruz,1200,1500,—,—
all_tables.pdf,57,tbl-147.md,3,Rio de Janeiro,Germano Feha,Santa Izabel,—,120,200,5,30
all_tables.pdf,57,tbl-147.md,4,Rio de Janeiro,Companhia Força e Luz São Valentim,Santa Rita do Passa Quatro,São Valentim,1000,1000,70,104
all_tables.pdf,57,tbl-147.md,5,Rio de Janeiro,Companhia de Electricidade São Simão-Cajurú,Santa Rosa,Itaipava,2000,4000,8,—
all_tables.pdf,57,tbl-147.md,6,Rio de Janeiro,Companhia Dócas de Santos,Santos,Itatinga,20000,20000,664,10300
all_tables.pdf,57,tbl-147.md,7,Rio de Janeiro,Companhia Paulista de Electricidade,São Carlos,Capão Preto,4890,6000,74,203
all_tables.pdf,57,tbl-147.md,8,Rio de Janeiro,,» »,Moniclinho,800,800,76,215
all_tables.pdf,57,tbl-147.md,9,Rio de Janeiro,E. Força e Luz de São João da Bôa Vista,São João da Bôa Vista,Santa Ignez,1600,1900,7,—
all_tables.pdf,57,tbl-147.md,10,Rio de Janeiro,Empresa Força e Luz do Barreiro,São José do Barreiro,—,15,—,50,65
all_tables.pdf,57,tbl-147.md,11,Rio de Janeiro,Companhia Força e Luz São José,São José dos Campos,—,200,1000,12,—
all_tables.pdf,57,tbl-147.md,12,Rio de Janeiro,Municipalidade de Serra Negra,Serra Negra,Costas,250,4500,15,30
all_tables.pdf,57,tbl-147.md,13,Rio de Janeiro,Companhia Luz e Força de Tatuhy,Tietê,Jurumirim,2040,4000,11,75
all_tables.pdf,57,tbl-147.md,14,Rio de Janeiro,Empresa Luz e Força de Tietê,Tietê,—,200,2000,5,—
all_tables.pdf,57,tbl-147.md,15,Rio de Janeiro,Municipalidade de Villa Bella,Villa Bella,—,4,8,18,1000
