order_number,entry,establishments_1975,personnel_occupied_total_1975,personnel_occupied_linked_to_production_1975,average_monthly_personnel_occupied_1975,salaries_total_1975_thousand_cruzeiros,salaries_production_personnel_1975_thousand_cruzeiros,miscellaneous_expenses_1975_thousand_cruzeiros,industrial_operations_expenses_total_1975_thousand_cruzeiros,industrial_operations_expenses_raw_materials_materials_components_1975_thousand_cruzeiros,production_value_1975_thousand_cruzeiros,industrial_transformation_value_1975_thousand_cruzeiros,entry_ocr,source_page_left,source_page_right,entry_correction_method,left_extraction_method,right_extraction_method,needs_review
5130,MATERIAL DE TRANSPORTE,6,56,72,83,1 032,624,1 278,5 034,4 971,7 781,2 747,MATERIAL DE TRANSPORTE,21,22,ocr_exact,mistral_table,mistral_table,no
5131,MADEIRA,12,117,98,87,516,376,1 170,1 579,1 495,4 374,2 795,MADEIRA,21,22,ocr_exact,mistral_table,mistral_table,no
5132,MOBILIARIO,21,799,641,678,9 458,4 622,13 157,44 553,44 182,86 959,42 406,MOBILIARIO,21,22,ocr_exact,mistral_table,mistral_table,no
5133,BORRACHA,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),BORRACHA,21,22,ocr_exact,mistral_table,mistral_table,no
5134,"COUROS E PELES, ARTEFATOS PARA VIAGEM",4,34,29,33,315,267,238,1 163,1 148,1 758,595,"COUROS E PELES, ARTEFATOS PARA VIAGEM",21,22,ocr_exact,mistral_table,mistral_table,no
5135,PRODUTOS DE MATERIAS PLASTICAS,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),PRODUTOS DE MATERIAS PLASTICAS,21,22,ocr_exact,mistral_table,mistral_table,no
5136,TEXTIL,2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),TEXTIL,21,22,ocr_exact,mistral_table,mistral_table,no
5137,"VESTUARIO, CALCADOS E ARTEFATOS DE TECIDOS",3,16,15,13,94,76,117,497,491,798,261,"VESTUARIO, CALCADOS E ARTEFATOS DE TECIDOS",21,22,ocr_exact,mistral_table,mistral_table,no
5138,PRODUTOS ALIMENTARES,33,174,106,175,1 805,973,6 787,55 170,54 640,67 461,12 291,PRODUTOS ALIMENTARES,21,22,ocr_exact,mistral_table,mistral_table,no
5139,BEBIDAS,4,31,23,22,121,79,162,246,214,957,711,BEBIDAS,21,22,ocr_exact,mistral_table,mistral_table,no
5140,EDITORIAL E GRAFICA,4,26,18,26,235,167,246,517,500,1 381,864,EDITORIAL E GRAFICA,21,22,ocr_exact,mistral_table,mistral_table,no
5141,DIVERSAS,3,16,12,13,87,65,103,311,305,546,235,DIVERSAS,21,22,ocr_exact,mistral_table,mistral_table,no
