municipality,start_date,station,railway,branch
"Carpina,PE",20.10.1881,CARPINA(antigaCHÃDECARPINAeFLORESTADOSLEÕES),GreatWestern(1881-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Nortekm 60 (1960)
"Pombos,PE",08.05.1886,POMBOS(antigaFRANCISCOGLICÉRIO),E.F.CentraldePernambuco(1886-1904)GreatWestern(1904-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centro- km 64 (1960)
"LagoadoCarro,PE",,CAMPOGRANDE,GreatWestern(1882-1950)RedeFerroviáriadoNordeste(1950-1968),Ramal de             Bom Jardim km 74 (1960)
"Limoeiro,PE",20.02.1882,LIMOEIRO,GreatWestern(1882-1950)RedeFerroviáriadoNordeste(1950-1968),Ramal de Bom Jardim-  km 83 (1960)
"Limoeiro,PE",,PEDRADOSONO,GreatWestern(1934-1950)RedeFerroviáriadoNordeste(1950-1968),Ramal de             Bom Jardimkm 89 (1960)
"Limoeiro,PE",,LAGOACOMPRIDA,GreatWestern(1930-1950)RedeFerroviáriadoNordeste(1950-1968),Ramal de             Bom Jardimkm 97 (1960)
,,ESPERA,GreatWestern(n/d-1950)RedeFerroviáriadoNordeste(1950-1968),Ramal de             Bom Jardim km 105 (1960)
"BomJardim,PE",,PARIJÓS,GreatWestern(n/d-1950)RedeFerroviáriadoNordeste(1950-1968),Ramal de             Bom Jardim km 109 (1960)
"BomJardim,PE",10.05.1937,BOMJARDIM,GreatWestern(1937-1950)RedeFerroviáriadoNordeste(1950-1968),Ramal de Bom Jardimkm 113 (1960)
"NazarédaMata,PE",15.09.1882,TRACUNHAÉM,GreatWestern(1882-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Norte km 67 (1960)
"Gravatá,PE",24.08.1887,RUSSINHA(antigaSERRA),E.F.CentraldePernambuco(1887-1904)GreatWestern(1904-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centro km 72 (1960)
"NazarédaMata,PE",15.09.1882,NAZARÉDAMATA,GreatWestern(1882-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Nortekm 73 (1960)
"Gravatá,PE",21.03.1930,CASCAVEL,GreatWestern(1930-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centro km 78 (1960)
"Gravatá,PE",04.01.1894,GRAVATÁ,E.F.CentraldePernambuco(1894-1904)GreatWestern(1904-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centrokm 89 (1960)
"NazarédaMata,PE",,JUNCO,GreatWestern(1882-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Norte             km 80 (1960)
,05.12.1931,INSURREIÇÃO,GreatWestern(1931-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centro km 103 (1960)
"Bezerros,PE",01.12.1895,BEZERROS,E.F.CentraldePernambuco(1895-1904)GreatWestern(1904-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centrokm 112 (1960)
"Aliança,PE",,UPATININGA,GreatWestern(1882-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Norte             km 84 (1960)
"Caruaru,PE",01.12.1895,GONÇALVESFERREIRA,E.F.CentraldePernambuco(1895-1904)GreatWestern(1904-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centro km 126 (1960)
"Aliança,PE",01.01.1883,BARAÚNA,GreatWestern(1883-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Norte km 91 (1960)
"Caruaru,PE",01.12.1895,CARUARU,E.F.CentraldePernambuco(1895-1904)GreatWestern(1904-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centrokm 139 (1960)
"Aliança,PE",01.01.1883,ALIANÇA,GreatWestern(1883-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Norte- km 97 (1960)
"Caruaru,PE",n/d,BARRADOTAQUARA(antigaTAQUARA),GreatWestern(n/d-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centrokm 149 (1960)
"SãoCaetano,PE(vejaacidade)",07.08.1891,SÃOCAETANO,E.F.CentraldePernambuco(1891-1904)GreatWestern(1904-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centro- km 161 (1960)
"Timbaúba,PE",01.01.1883,PUREZA,GreatWestern(1883-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Norte- km 108 (1960)
"Tacaimbó,PE",25.12.1896,TACAIMBÓ(ex-ANTONIOOLINTO),E.F.CentraldePernambuco(1896-1904)GreatWestern(1904-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centro- km 180 (1960)
"Timbaúba,PE",08.01.1888,TIMBAÚBA,GreatWestern(1888-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Nortekm 118 (1960)
"BeloJardim,PE",02.02.1906,BELOJARDIM,GreatWestern(1906-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centrokm 196 (1960)
"Timbaúba,PE",02.01.1900,ROSAESILVA,GreatWestern(1900-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Norte            km 130 (1960)
"Sanharó,PE",01.11.1906,SANHARÓ,GreatWestern(1906-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centro- km 212 (1960)
"Pesqueira,PE",01.11.1906,PESQUEIRA,GreatWestern(1906-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centro- km 228 (1960)
"Pesqueira,PE",15.12.1910,IPANEMA,GreatWestern(1910-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centro- km 241 (1960)
"Pesqueira,PE",27.12.1911,MIMOSO,GreatWestern(1911-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centro- km 251 (1960)
"Arcoverde,PE",13.05.1912,ARCOVERDE(antigaBARÃODORIOBRANCO),GreatWestern(1912-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centro- km 269 (1960)
"Sertânia,PE",09.09.1930,HENRIQUEDIAS(antigaSOUZAFILHOeTIGRE),GreatWestern(1930-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centro- km 297 (1960)
"Sertânia,PE",15.08.1932,PINTORIBEIRO,GreatWestern(1932-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centrokm 317 (1960)
"Sertânia,PE",06.06.1933,SERTÂNIA(antigaALAGOADEBAIXO),GreatWestern(1933-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centrokm 330 (1960)
"Sertânia,PE",03.12.1941,ALBUQUERQUENÉ,GreatWestern(1941-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centro- km 351 (1960)
"Iguaraci,PE",28.10.1948,IRAJAÍ,GreatWestern(1948-1950)RedeFerroviáriadoNordeste(1950-1975)RFFSA(1975-1996),Linha Centro- km 368 (1960)
